                                          AUGUST 1999 
DATE  SID.TIME  SUN   MOON  MERCURY  VENUS  MARS JUPITER SATURN URANUS NEPTUNE PLUTO  NODE 
Su 01 20:36:39 08LE20 20PI36 29CN54 05VI03 11SC21 04TA03 16TA27 15AQ05 02AQ50 07SG50 13LE10 
Mo 02 20:40:36 09LE17 04AR04 29CN27 04VI58 11SC52 04TA07 16TA30 15AQ03 02AQ48 07SG49 13LE07 
Tu 03 20:44:32 10LE14 17AR45 29CN06 04VI50 12SC22 04TA12 16TA32 15AQ00 02AQ46 07SG48 13LE04 
We 04 20:48:29 11LE12 01TA39 28CN49 04VI39 12SC53 04TA16 16TA35 14AQ58 02AQ45 07SG48 13LE01 
Th 05 20:52:26 12LE09 15TA45 28CN39 04VI26 13SC24 04TA20 16TA38 14AQ56 02AQ43 07SG47 12LE57 
Fr 06 20:56:22 13LE07 00GE01 28CN35 04VI11 13SC55 04TA23 16TA40 14AQ53 02AQ42 07SG47 12LE54 
Sa 07 21:00:19 14LE04 14GE24 28CN37 03VI54 14SC27 04TA27 16TA43 14AQ51 02AQ40 07SG47 12LE51 
Su 08 21:04:15 15LE02 28GE52 28CN46 03VI34 14SC59 04TA30 16TA45 14AQ48 02AQ38 07SG46 12LE48 
Mo 09 21:08:12 15LE59 13CN18 29CN02 03VI12 15SC31 04TA34 16TA47 14AQ46 02AQ37 07SG46 12LE45 
Tu 10 21:12:08 16LE57 27CN39 29CN24 02VI48 16SC03 04TA37 16TA50 14AQ44 02AQ35 07SG46 12LE42 
We 11 21:16:05 17LE54 11LE50 29CN54 02VI22 16SC36 04TA40 16TA52 14AQ41 02AQ34 07SG45 12LE38 
Th 12 21:20:01 18LE52 25LE47 00LE30 01VI54 17SC08 04TA42 16TA54 14AQ39 02AQ32 07SG45 12LE35 
Fr 13 21:23:58 19LE50 09VI25 01LE13 01VI24 17SC42 04TA45 16TA55 14AQ36 02AQ31 07SG45 12LE32 
Sa 14 21:27:55 20LE47 22VI43 02LE02 00VI53 18SC15 04TA47 16TA57 14AQ34 02AQ29 07SG45 12LE29 
Su 15 21:31:51 21LE45 05LI41 02LE59 00VI20 18SC49 04TA49 16TA59 14AQ32 02AQ28 07SG44 12LE26 
Mo 16 21:35:48 22LE43 18LI19 04LE01 29LE46 19SC22 04TA51 17TA00 14AQ29 02AQ26 07SG44 12LE22 
Tu 17 21:39:44 23LE40 00SC40 05LE10 29LE11 19SC56 04TA53 17TA02 14AQ27 02AQ25 07SG44 12LE19 
We 18 21:43:41 24LE38 12SC48 06LE24 28LE35 20SC31 04TA54 17TA03 14AQ25 02AQ23 07SG44 12LE16 
Th 19 21:47:37 25LE36 24SC46 07LE44 27LE58 21SC05 04TA56 17TA04 14AQ22 02AQ22 07SG44 12LE13 
Fr 20 21:51:34 26LE33 06SG40 09LE10 27LE21 21SC40 04TA57 17TA05 14AQ20 02AQ20 07SG44 12LE10 
Sa 21 21:55:30 27LE31 18SG33 10LE40 26LE43 22SC15 04TA58 17TA06 14AQ18 02AQ19 07SG44 12LE07 
Su 22 21:59:27 28LE29 00CP30 12LE15 26LE06 22SC50 04TA58 17TA07 14AQ15 02AQ17 07SG44 12LE03 
Mo 23 22:03:24 29LE27 12CP36 13LE54 25LE29 23SC25 04TA59 17TA08 14AQ13 02AQ16 07SG44 12LE00 
Tu 24 22:07:20 00VI24 24CP53 15LE37 24LE53 24SC01 04TA59 17TA09 14AQ11 02AQ15 07SG45 11LE57 
We 25 22:11:17 01VI22 07AQ26 17LE23 24LE17 24SC37 04TA59 17TA09 14AQ08 02AQ13 07SG45 11LE54 
Th 26 22:15:13 02VI20 20AQ16 19LE12 23LE43 25SC13 04TA59 17TA10 14AQ06 02AQ12 07SG45 11LE51 
Fr 27 22:19:10 03VI18 03PI24 21LE04 23LE09 25SC49 04TA59 17TA10 14AQ04 02AQ11 07SG45 11LE47 
Sa 28 22:23:06 04VI16 16PI48 22LE57 22LE37 26SC25 04TA58 17TA11 14AQ02 02AQ09 07SG46 11LE44 
