ear,Correction Seconds
1860,3s
1861,3s
1862,3s
1863,3s
1864,2s
1865,2s
1866,1s
1867,1s
1868,0s
1869,-1s
1870,-2s
1871,-3s
1872,-5s
1873,-6s
1874,-7s
1875,-7s
1876,-8s
1877,-8s
1878,-8s
1879,-8s
1880,-8s
1881,-8s
1882,-8s
1883,-8s
1884,-8s
1885,-8s
1886,-8s
1887,-8s
1888,-8s
1889,-8s
1890,-8s
1891,-8s
1892,-8s
1893,-8s
1894,-8s
1895,-8s
1896,-7s
1897,-7s
1898,-6s
1899,-5s
1900,-4s
1901,-3s
1902,-1s
1903,0s
1904,2s
1905,3s
1906,5s
1907,6s
1908,8s
1909,9s
1910,10s
1911,12s
1912,13s
1913,14s
1914,15s
1915,16s
1916,17s
1917,18s
1918,19s
1919,20s
1920,21s
1921,21s
1922,22s
1923,22s
1924,22s
1925,23s
1926,23s
1927,23s
1928,23s
1929,23s
1930,23s
1931,23s
1932,24s
1933,24s
1934,24s
1935,24s
1936,24s
1937,24s
1938,24s
1939,24s
1940,24s
1941,25s
1942,25s
1943,25s
1944,26s
1945,27s
1946,27s
1947,28s
1948,28s
1949,29s
1950,29s
1951,30s
1952,30s
1953,31s
1954,31s
1955,31s
1956,32s
1957,32s
1958,32s
1959,33s
1960,33s
1961,34s
1962,34s
1963,35s
1964,35s
1965,36s
1966,37s
1967,38s
1968,39s
1969,40s
1970,41s
1971,42s
1972,43s
1973,44s
1974,45s
1975,46s
