,00h,,01h,,02h,,03h,,04h,,05h,,06h,,07h,,08h,,09h,,10h,,11h,,12h,,13h,,14h,,15h,,16h,,17h,,18h,,19h,,20h,,21h,,22h,,23h,
MIN,m,s,m,s,m,s,m,s,m,s,m,s,m,s,m,s,m,s,m,s,m,s,m,s,m,s,m,s,m,s,m,s,m,s,m,s,m,s,m,s,m,s,m,s,m,s,m,s
00m,00m,00s,00m,10s,00m,20s,00m,30s,00m,39s,00m,49s,00m,59s,01m,09s,01m,19s,01m,29s,01m,39s,01m,48s,01m,58s,02m,08s,02m,18s,02m,28s,02m,38s,02m,48s,02m,57s,03m,07s,03m,17s,03m,27s,03m,37s,03m,47s
01m,00m,00s,00m,10s,00m,20s,00m,30s,00m,40s,00m,49s,00m,59s,01m,09s,01m,19s,01m,29s,01m,39s,01m,49s,01m,58s,02m,08s,02m,18s,02m,28s,02m,38s,02m,48s,02m,58s,03m,07s,03m,17s,03m,27s,03m,37s,03m,47s
02m,00m,00s,00m,10s,00m,20s,00m,30s,00m,40s,00m,50s,00m,59s,01m,09s,01m,19s,01m,29s,01m,39s,01m,49s,01m,59s,02m,08s,02m,18s,02m,28s,02m,38s,02m,48s,02m,58s,03m,08s,03m,17s,03m,27s,03m,37s,03m,47s
03m,00m,00s,00m,10s,00m,20s,00m,30s,00m,40s,00m,50s,01m,00s,01m,09s,01m,19s,01m,29s,01m,39s,01m,49s,01m,59s,02m,09s,02m,18s,02m,28s,02m,38s,02m,48s,02m,58s,03m,08s,03m,18s,03m,27s,03m,37s,03m,47s
04m,00m,01s,00m,11s,00m,20s,00m,30s,00m,40s,00m,50s,01m,00s,01m,10s,01m,20s,01m,29s,01m,39s,01m,49s,01m,59s,02m,09s,02m,19s,02m,29s,02m,38s,02m,48s,02m,58s,03m,08s,03m,18s,03m,28s,03m,37s,03m,47s
05m,00m,01s,00m,11s,00m,21s,00m,30s,00m,40s,00m,50s,01m,00s,01m,10s,01m,20s,01m,30s,01m,39s,01m,49s,01m,59s,02m,09s,02m,19s,02m,29s,02m,39s,02m,48s,02m,58s,03m,08s,03m,18s,03m,28s,03m,38s,03m,48s
06m,00m,01s,00m,11s,00m,21s,00m,31s,00m,40s,00m,50s,01m,00s,01m,10s,01m,20s,01m,30s,01m,40s,01m,49s,01m,59s,02m,09s,02m,19s,02m,29s,02m,39s,02m,49s,02m,58s,03m,08s,03m,18s,03m,28s,03m,38s,03m,48s
07m,00m,01s,00m,11s,00m,21s,00m,31s,00m,41s,00m,50s,01m,00s,01m,10s,01m,20s,01m,30s,01m,40s,01m,50s,01m,59s,02m,09s,02m,19s,02m,29s,02m,39s,02m,49s,02m,59s,03m,08s,03m,18s,03m,28s,03m,38s,03m,48s
08m,00m,01s,00m,11s,00m,21s,00m,31s,00m,41s,00m,51s,01m,00s,01m,10s,01m,20s,01m,30s,01m,40s,01m,50s,02m,00s,02m,09s,02m,19s,02m,29s,02m,39s,02m,49s,02m,59s,03m,09s,03m,18s,03m,28s,03m,38s,03m,48s
